datdep,ptcar_lg_nm_nl,delay_arr,delay_dep,circ_typ,train_serv,mois
26MAR2025,MOUTERIJ,-0.58,-0.58,1,SNCB/NMBS,2025-03
26MAR2025,VILLERS-LA-VILLE,-1.78,-1.78,1,SNCB/NMBS,2025-03
15MAR2025,DRONGEN,-0.3,-0.07,1,SNCB/NMBS,2025-03
23MAR2025,BRUSSEL-CONGRES,0.42,0.42,1,SNCB/NMBS,2025-03
01MAR2025,LIER,0.7,0.28,1,SNCB/NMBS,2025-03
05MAR2025,BRUSSEL-CONGRES,0.58,0.58,1,SNCB/NMBS,2025-03
30MAR2025,ANTWERPEN-BERCHEM,-0.92,0.2,1,SNCB/NMBS,2025-03
18MAR2025,LA LOUVIERE-GARE INDUSTRIELLE,2.27,2.27,1,SNCB/NMBS,2025-03
20MAR2025,CHASTRE,12.82,12.82,1,SNCB/NMBS,2025-03
22MAR2025,GENT-DAMPOORT,-0.17,0.42,1,SNCB/NMBS,2025-03
22MAR2025,HEIST,2.43,3.18,1,SNCB/NMBS,2025-03
29MAR2025,MARCHE-LEZ-ECAUSSINNES,-0.32,-0.32,1,SNCB/NMBS,2025-03
11MAR2025,GENT-SINT-PIETERS,3.8,0.77,1,SNCB/NMBS,2025-03
13MAR2025,HERENTALS,0.35,0.57,1,SNCB/NMBS,2025-03
03MAR2025,BRUSSEL-CONGRES,1.9,2.08,1,SNCB/NMBS,2025-03
10MAR2025,VISE,3.3,5.47,1,SNCB/NMBS,2025-03
02MAR2025,OPWIJK,-0.58,0.07,1,SNCB/NMBS,2025-03
13MAR2025,DENDERMONDE,0.3,,1,SNCB/NMBS,2025-03
29MAR2025,APPELTERRE,2.63,2.2,1,SNCB/NMBS,2025-03
26MAR2025,SCHELLEBELLE,-0.72,0.0,1,SNCB/NMBS,2025-03
19MAR2025,DUFFEL,0.3,0.3,1,SNCB/NMBS,2025-03
11MAR2025,AYE,-0.3,0.95,1,SNCB/NMBS,2025-03
20MAR2025,NINOVE,-0.48,-0.2,1,SNCB/NMBS,2025-03
19MAR2025,RUISBROEK,1.88,1.47,1,SNCB/NMBS,2025-03
25MAR2025,HALLE,-1.77,-1.77,1,THI-FACT,2025-03
14MAR2025,WATERLOO,0.83,1.0,1,SNCB/NMBS,2025-03
12MAR2025,GENT-SINT-PIETERS,5.63,5.28,1,SNCB/NMBS,2025-03
22MAR2025,BRUSSEL-NOORD,1.52,1.4,1,SNCB/NMBS,2025-03
07MAR2025,BRESSOUX,0.88,0.17,1,SNCB/NMBS,2025-03
05MAR2025,HEIST-OP-DEN-BERG,1.57,2.08,1,SNCB/NMBS,2025-03
